nom_boutique,adresse,ville,code_postal,departement,latitude,longitude,responsable
Free shop 67 _ 162,Place Kléber,Strasbourg,67000,Bas-Rhin,48.58362,7.74472,1
Free shop 91 _ 163,CC Villabé,Villabé,91100,Essonne,48.58404,2.45066,1
Free shop 67 _ 164,26 Avenue de la Marseillaise,Strasbourg,67000,Bas-Rhin,48.58469,7.75763,1
Free shop 91 _ 165,CC Auchan,Brétigny-sur-Orge,91220,Essonne,48.58524,2.30432,1
Free shop 67 _ 166,24 Place des Halles,Strasbourg,67003,Bas-Rhin,48.58577,7.74234,1
Free shop 91 _ 167,CC Evry 2,Évry,91000,Essonne,48.62863,2.42603,1
Free shop 91 _ 168,CC Carrefour,Athis-Mons,91200,Essonne,48.71151,2.37316,1
Free shop 91 _ 169,Centre Commercial Cora,Massy,91300,Essonne,48.72561,2.27702,1
Free shop 92 _ 170,13 Rue Auguste Mounié,Antony,92160,Hauts-de-Seine,48.75372,2.30307,1
Free shop 94 _ 171,CC Belle Epine,Thias,94320,Val-de-Marne,48.75569,2.37166,1
Free shop 77 _ 172,CC Régional,Pontault-Combault,77340,Seine-et-Marne,48.77678,2.60899,1
Free shop 92 _ 173,Rue Houdan,Sceaux,92330,Hauts-de-Seine,48.77849,2.29172,1
Free shop 94 _ 174,CC Créteil Soleil,Créteil,94000,Val-de-Marne,48.77861,2.45641,1
Free shop 92 _ 175,Rue René Roeckel,Bourg-la-Reine,92340,Hauts-de-Seine,48.77943,2.3145,1
Free shop 92 _ 176,Avenue Henri Ravera,Bagneux,92220,Hauts-de-Seine,48.80572,2.31381,1
Free shop 94 _ 177,CC de la Vache Noire,Arcueil,94110,Val-de-Marne,48.81119,2.32914,1
Free shop 94 _ 178,CC Okabé,Le Kremlin-Bicêtre,94270,Val-de-Marne,48.8115,2.36253,1
Free shop 92 _ 179,Avenue de la République,Montrouge,92120,Hauts-de-Seine,48.81805,2.31948,1
Free shop 75 _ 180,CC Italie2,Paris 13,75013,Non trouvé,48.82843,2.35547,1
Free shop 75 _ 181,39 Avenue du Général Leclerc,Paris 14,75014,Non trouvé,48.83034,2.32941,1
Free shop 92 _ 182,2 Rue Pierre Brossolette,Asnières-sur-Seine,92600,Hauts-de-Seine,48.91041,2.29011,1
Free shop 75 _ 183,69 Avenue des Ternes,Paris 17,75017,Non trouvé,48.8793,2.29044,1
Free shop 75 _ 184,125 Avenue des Champs-Elysées,Paris 08,75008,Non trouvé,48.87247,2.29788,1
Free shop 95 _ 185,Rue du Général de Gaulle,Enghien-les-Bains,95880,Val-d'Oise,48.96989,2.30617,1
Free shop 75 _ 186,CC Maine-Montparnasse,Paris 15,75015,Non trouvé,48.84281,2.32286,1
Free shop 75 _ 187,2 Rue Lepic,Paris 18,75018,Non trouvé,48.88404,2.33309,1
Free shop 75 _ 188,23 Boulevard Haussmann,Paris 09,75009,Non trouvé,48.87271,2.33369,1
Free shop 75 _ 189,126 Boulevard Saint-Germain,Paris 06,75006,Non trouvé,48.85241,2.33965,1
Free shop 95 _ 190,CC Domont-Moisselles,Moisselles,95570,Val-d'Oise,49.04029,2.34083,1
Free shop 75 _ 191,61 Rue La Fayette,Paris 09,75009,Non trouvé,48.8759,2.34331,1
Free shop 75 _ 192,20 Rue de Rivoli,Paris 04,75004,Non trouvé,48.85598,2.3584,1
Free shop 75 _ 193,13 Place de la République,Paris 03,75003,Non trouvé,48.86695,2.36349,1
Free shop 75 _ 194,9 Boulevard Beaumarchais,Paris 04,75004,Non trouvé,48.85443,2.3685,1
Free shop 75 _ 195,40 Rue du Faubourg Saint-Antoine,Paris 12,75012,Non trouvé,48.8522,2.37218,1
Free shop 93 _ 196,CC Le Millénaire,Aubervilliers,93300,Seine-Saint-Denis,48.90308,2.37518,1
Free shop 75 _ 197,100 Rue du Faubourg Saint-Antoine,Paris 12,75012,Non trouvé,48.85106,2.37647,1
Free shop 75 _ 198,Avenue Daumesnil,Paris 12,75012,Non trouvé,48.8401,2.39393,1
Free shop 93 _ 199,CC Avenir,Drancy,93700,Seine-Saint-Denis,48.91944,2.42152,1
Free shop 93 _ 200,CC Bobigny2,Bobigny,93000,Seine-Saint-Denis,48.90632,2.44711,3
Free shop 93 _ 201,CC Rosny 2,Rosny-sous-Bois,93117,Seine-Saint-Denis,48.88423,2.47716,3
Free shop 94 _ 202,CC Nogent,Nogent-sur-Marne,94130,Val-de-Marne,48.8371,2.48384,3
Free shop 93 _ 203,CC Arcades,Noisy-le-Grand,93160,Seine-Saint-Denis,48.84044,2.54565,3
Free shop 93 _ 204,CC Basilique,Noisy-le-Grand,93160,Seine-Saint-Denis,48.83876,2.54585,3
Free shop 77 _ 205,CC Bay 2,Collégien,77090,Seine-et-Marne,48.83766,2.6612,3
Free shop 77 _ 206,CC Carrefour,Claye-Souilly,77410,Seine-et-Marne,48.94633,2.6621,3
Free shop 80 _ 207,CC Intermarché,Péronne,80200,Somme,49.9394,2.92385,3
Free shop 84 _ 208,CC Cavaillon,Cavaillon,84300,Vaucluse,43.83586,5.04043,3
Free shop 84 _ 209,246 Quai Général Leclerc,Apt,84400,Vaucluse,43.87658,5.39947,3
Free shop 84 _ 210,3 Rue des Marchands,Avignon,84000,Vaucluse,43.94871,4.80634,3
Free shop 84 _ 211,463 Avenue Frédéric Mistral,Carpentras,84200,Vaucluse,44.04971,5.03791,3
Free shop 84 _ 212,67 Avenue du Mont Ventoux,Carpentras,84200,Vaucluse,44.05592,5.05376,3
Free shop 84 _ 213,CC Avignon Nord,Le Pontet,84130,Vaucluse,43.95914,4.86383,3
Free shop 84 _ 214,CC Mistral 7,Avignon,84140,Vaucluse,43.92146,4.86576,3
Free shop 84 _ 215,19 Rue de la République,Orange,84100,Vaucluse,44.13738,4.81003,3
Free shop 84 _ 216,CC Cap Sud,Avignon,84000,Vaucluse,43.92861,4.83599,3
Free shop 92 _ 217,Hall RER,Puteaux,92800,Hauts-de-Seine,48.89199,2.23855,3
Free shop 22 _ 218,"Quai d'Aiguillon ,Près de la Poste",Lannion,22300,Côtes-d'Armor,48.73205,-3.46181,3
Free shop 22 _ 219,16 Rue Saint-Guillaume,Saint-Brieuc,22000,Côtes-d'Armor,48.51365,-2.75994,3
Free shop 22 _ 220,15 Rue du Val,Lamballe,22400,Côtes-d'Armor,48.46921,-2.51445,3
Free shop 35 _ 221,63 Rue ville Pépin,Saint-Malo,35400,Ille-et-Vilaine,48.63428,-2.01331,1
Free shop 35 _ 222,22 Rue Tronjolly,Rennes,35000,Ille-et-Vilaine,48.10652,-1.68094,1
Free shop 35 _ 223,"CC Intermarché Long-Champs ,Allée Morvan Lebesque",Rennes,35700,Ille-et-Vilaine,48.13058,-1.63332,1
Free shop 35 _ 224,CC Leclerc Cleunay,Rennes,35000,Ille-et-Vilaine,48.10412,-1.71425,1
Free shop 35 _ 225,6 Boulevard Jean Jaurès,Fougères,35300,Ille-et-Vilaine,48.35292,-1.20047,1
Free shop 56 _ 226,23 Rue Joseph le Brix,Vannes,56000,Morbihan,47.65903,-2.75916,1
